home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
TSG Hoffenheim II U23,VfB Stuttgart II U21,1,3,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206059,2.15,1.68,1.672,1.121,0.488,0.207,0.305
SV Wehen Wiesbaden,TSV 1860 München,1,0,,,https://footystats.org/germany/tsv-1860-munchen-vs-sv-wehen-wiesbaden-h2h-stats#8206075,2.33,1.34,1.98,0.827,0.595,0.193,0.211
Erzgebirge Aue,Rot-Weiss Essen,2,2,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-rot-weiss-essen-h2h-stats#8205852,1.31,2.47,0.75,2.067,0.189,0.183,0.628
Energie Cottbus,Alemannia Aachen,3,2,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsv-alemannia-aachen-h2h-stats#8205837,1.3,1.43,1.283,1.461,0.342,0.256,0.402
1. FC Schweinfurt 05,SC Verl,1,2,,,https://footystats.org/germany/1-fc-schweinfurt-1905-vs-sc-verl-1924-h2h-stats#8205834,1.5,2.45,0.869,1.943,0.227,0.189,0.585
FC Ingolstadt 04,SSV Ulm 1846,4,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-ssv-ulm-1846-h2h-stats#8205835,2.23,1.43,1.871,0.927,0.556,0.202,0.242
SSV Jahn Regensburg,1. FC Saarbrücken,1,1,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-saarbrucken-h2h-stats#8205846,0.93,1.16,1.174,1.528,0.292,0.298,0.41
FC Viktoria Köln,TSV Havelse,4,1,,,https://footystats.org/germany/fc-viktoria-koln-vs-tsv-havelse-h2h-stats#8205853,3.03,1.6,2.15,0.692,0.664,0.157,0.179
SV Waldhof Mannheim,VfL Osnabrück,1,4,,,https://footystats.org/germany/vfl-osnabruck-vs-sv-waldhof-mannheim-07-h2h-stats#8206085,1.74,1.78,1.364,1.414,0.381,0.222,0.397
MSV Duisburg,F.C. Hansa Rostock,2,2,,,https://footystats.org/germany/msv-duisburg-vs-fc-hansa-rostock-h2h-stats#8205848,1.56,1.25,1.585,1.166,0.445,0.249,0.306
