home_team,away_team,home_goals,away_goals,match_date,match_time,stats_link
MSV Duisburg,Rot-Weiss Essen,1,1,,,https://footystats.org/germany/msv-duisburg-vs-rot-weiss-essen-h2h-stats#8205857
FC Viktoria Köln,F.C. Hansa Rostock,2,4,,,https://footystats.org/germany/fc-hansa-rostock-vs-fc-viktoria-koln-h2h-stats#8205870
TSG Hoffenheim II U23,Erzgebirge Aue,1,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsg-1899-hoffenheim-ii-h2h-stats#8205803
1. FC Schweinfurt 05,VfL Osnabrück,1,2,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-schweinfurt-1905-h2h-stats#8206112
Energie Cottbus,TSV Havelse,4,3,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsv-havelse-h2h-stats#8205865
FC Ingolstadt 04,1. FC Saarbrücken,2,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-1-fc-saarbrucken-h2h-stats#8205866
SSV Jahn Regensburg,VfB Stuttgart II U21,3,2,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-vfb-stuttgart-1893-ii-h2h-stats#8205867
SC Verl,SSV Ulm 1846,5,0,,,https://footystats.org/germany/sc-verl-1924-vs-ssv-ulm-1846-h2h-stats#8205871
SV Waldhof Mannheim,TSV 1860 München,3,1,,,https://footystats.org/germany/tsv-1860-munchen-vs-sv-waldhof-mannheim-07-h2h-stats#8205875
SV Wehen Wiesbaden,Alemannia Aachen,1,2,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-tsv-alemannia-aachen-h2h-stats#8205873
