home_team,away_team,home_goals,away_goals,match_date,match_time,url,home_xG,away_xG
SV Waldhof Mannheim,FC Viktoria Köln,2,0,,,https://footystats.org/germany/fc-viktoria-koln-vs-sv-waldhof-mannheim-07-h2h-stats#8206044,1.43,1.33
Erzgebirge Aue,TSV Havelse,2,1,,,https://footystats.org/germany/fc-erzgebirge-aue-vs-tsv-havelse-h2h-stats#8206046,2.67,1.55
FC Ingolstadt 04,F.C. Hansa Rostock,1,1,,,https://footystats.org/germany/fc-ingolstadt-04-vs-fc-hansa-rostock-h2h-stats#8206045,1.77,2.41
MSV Duisburg,SSV Ulm 1846,2,1,,,https://footystats.org/germany/msv-duisburg-vs-ssv-ulm-1846-h2h-stats#8206152,1.73,1.71
TSG Hoffenheim II U23,Energie Cottbus,4,1,,,https://footystats.org/germany/fc-energie-cottbus-vs-tsg-1899-hoffenheim-ii-h2h-stats#8206042,2.51,1.43
VfB Stuttgart II U21,SC Verl,1,1,,,https://footystats.org/germany/vfb-stuttgart-1893-ii-vs-sc-verl-1924-h2h-stats#8206048,1.08,2.63
VfL Osnabrück,1. FC Saarbrücken,2,0,,,https://footystats.org/germany/vfl-osnabruck-vs-1-fc-saarbrucken-h2h-stats#8206070,1.85,0.56
Alemannia Aachen,TSV 1860 München,0,2,,,https://footystats.org/germany/tsv-1860-munchen-vs-tsv-alemannia-aachen-h2h-stats#8206151,1.29,1.29
SSV Jahn Regensburg,1. FC Schweinfurt 05,3,0,,,https://footystats.org/germany/ssv-jahn-2000-regensburg-vs-1-fc-schweinfurt-1905-h2h-stats#8206153,1.80,1.27
SV Wehen Wiesbaden,Rot-Weiss Essen,3,4,,,https://footystats.org/germany/sv-wehen-wiesbaden-vs-rot-weiss-essen-h2h-stats#8206047,1.52,2.09
