Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,spieltag-6,spieltag-7,spieltag-8,spieltag-9,spieltag-10,spieltag-11,spieltag-12,spieltag-13,spieltag-14,spieltag-15,spieltag-16,spieltag-17,spieltag-18,spieltag-19,spieltag-20,spieltag-21,spieltag-22,spieltag-23,spieltag-24,spieltag-25,spieltag-26,total_points
Energie Cottbus,1,1,3,1,0,1,3,1,3,3,3,0,1,3,3,3,0,3,3,3,3,0,0,3,1,3,49
VfL Osnabrück,3,0,3,1,3,3,1,3,1,3,3,1,3,1,3,3,3,1,0,3,0,3,3,0,1,0,49
MSV Duisburg,1,1,3,0,1,3,3,3,3,1,0,1,3,3,1,1,1,3,0,0,3,3,3,3,3,0,47
SC Verl,1,3,0,3,1,3,0,0,0,1,3,1,0,3,3,3,3,3,3,3,1,1,1,3,1,1,45
SV Wehen Wiesbaden,3,0,0,3,3,3,3,3,1,1,1,3,3,0,0,3,1,3,0,0,1,0,0,3,3,3,44
F.C. Hansa Rostock,3,1,0,1,3,3,3,1,1,0,0,1,0,1,3,1,0,3,3,3,3,1,3,3,1,1,43
Rot-Weiss Essen,0,3,0,3,1,1,3,1,0,3,1,3,0,3,1,1,3,1,3,0,1,3,3,3,1,1,43
TSV 1860 München,3,0,3,3,3,1,1,0,0,1,1,3,1,3,0,0,0,0,3,3,3,3,0,3,1,3,42
SV Waldhof Mannheim,3,1,0,1,0,0,0,3,3,3,3,0,3,0,3,0,0,0,3,3,0,3,0,3,1,3,39
FC Viktoria Köln,3,1,3,1,3,0,3,1,1,1,0,3,3,3,0,3,0,3,0,0,0,0,3,0,3,0,38
FC Ingolstadt 04,0,1,3,1,0,3,3,1,0,1,3,0,1,0,3,3,1,3,3,0,0,1,0,3,1,1,36
VfB Stuttgart II U21,0,3,3,0,0,0,0,3,0,1,0,3,1,0,0,3,3,3,3,1,3,1,0,3,0,1,35
TSG Hoffenheim II U23,0,3,0,0,1,0,0,1,1,0,0,3,3,0,1,0,3,0,3,3,3,3,0,0,1,3,32
Alemannia Aachen,0,1,3,3,0,0,3,1,3,0,1,3,3,0,3,0,3,0,0,0,0,0,3,0,1,1,32
SSV Jahn Regensburg,1,1,3,0,3,0,0,1,3,0,3,0,0,0,3,1,0,0,3,3,0,3,3,0,1,0,32
1. FC Saarbrücken,1,1,1,3,1,1,0,1,1,1,0,0,3,3,0,1,3,3,0,0,3,0,1,0,1,0,29
Erzgebirge Aue,0,3,0,1,1,0,0,1,3,3,0,3,0,0,1,1,0,0,0,1,0,3,1,0,1,1,24
SSV Ulm 1846,1,0,1,0,0,0,3,0,1,3,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,24
TSV Havelse,1,1,0,0,3,3,0,0,1,0,3,0,0,0,0,0,1,0,0,3,1,0,1,0,1,1,20
1. FC Schweinfurt 05,1,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,11
