Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,spieltag-6,spieltag-7,spieltag-8,spieltag-9,spieltag-10,spieltag-11,spieltag-12,spieltag-13,spieltag-14,spieltag-15,spieltag-16,spieltag-17,spieltag-18,spieltag-19,spieltag-20,spieltag-21,spieltag-22,spieltag-23,spieltag-24,spieltag-25,spieltag-26,Total_xG
F.C. Hansa Rostock,1.64,1.12,2.41,1.79,0.59,1.63,2.5,2.37,2.04,1.25,2.2,1.88,2.24,2.59,3.18,1.99,2.81,0.8,1.74,1.5,1.56,2.44,1.22,1.25,1.14,1.81,47.69
TSG Hoffenheim II U23,2.03,1.3,2.51,2.05,1.01,0.81,1.83,1.77,2.12,2.15,1.87,1.85,2.36,1.82,2.47,1.58,1.8,1.97,2.19,1.6,1.89,1.47,1.5,1.55,0.86,1.24,45.6
SC Verl,0.8,0.98,2.63,1.6,1.49,0.97,1.61,1.88,1.58,2.45,1.94,2.16,1.41,3.24,1.42,1.69,1.15,1.39,1.76,2.09,1.97,1.76,2.46,2.12,1.73,1.28,45.56
Rot-Weiss Essen,1.79,0.77,2.09,2.16,1.53,1.46,1.29,1.96,1.42,2.47,1.81,1.37,2.57,2.03,2.53,1.8,1.94,1.23,1.62,1.04,1.59,1.09,1.34,1.7,1.48,1.81,43.89
Energie Cottbus,2.06,2.83,1.43,1.84,2.31,1.55,1.46,1.94,1.17,1.3,1.36,1.96,1.86,0.92,1.45,2.27,1.82,0.85,1.75,1.26,1.57,2.46,1.45,2.16,1.89,0.77,43.69
FC Ingolstadt 04,1.75,2.34,1.77,1.81,2.29,2.37,1.29,0.72,1.77,2.23,2.0,2.15,0.99,1.78,1.36,2.25,1.25,2.22,1.1,1.45,1.25,1.17,1.07,1.79,2.42,0.62,43.21
SV Wehen Wiesbaden,2.65,2.52,1.52,1.96,1.38,1.88,1.31,1.96,1.32,2.33,0.97,1.98,0.94,1.8,1.09,1.85,0.88,1.94,1.46,1.46,0.73,1.07,2.06,2.15,0.89,1.78,41.88
VfL Osnabrück,1.43,1.99,1.85,1.93,1.48,1.6,1.17,1.39,1.55,1.78,1.18,2.3,1.67,1.07,1.75,1.27,1.66,1.83,1.52,1.55,1.64,1.06,2.02,1.28,1.69,1.81,41.47
TSV Havelse,1.48,2.68,1.55,1.23,1.57,1.99,0.94,1.46,1.73,1.6,1.36,1.53,1.39,1.6,1.43,1.74,1.32,1.39,1.88,1.56,2.41,1.56,1.63,1.75,1.31,1.24,41.33
SSV Jahn Regensburg,2.11,0.23,1.8,1.25,1.38,1.88,1.47,1.05,1.4,0.93,1.51,1.64,2.19,2.29,1.34,1.2,1.63,1.57,2.06,1.76,1.07,1.47,1.85,2.02,2.69,1.35,41.14
SV Waldhof Mannheim,1.73,0.66,1.43,2.36,1.06,0.99,1.81,1.77,1.48,1.74,1.42,2.37,2.31,1.5,1.82,1.45,1.8,1.78,1.71,1.11,0.98,1.14,0.93,1.87,1.55,1.9,40.67
MSV Duisburg,1.36,1.58,1.73,1.2,1.44,1.63,2.06,2.04,1.71,1.56,1.92,1.95,0.72,1.87,0.89,1.34,1.31,1.85,0.95,1.6,2.26,1.74,1.14,0.43,1.49,2.66,40.43
VfB Stuttgart II U21,1.44,1.34,1.08,1.08,1.71,1.43,0.96,1.33,1.46,1.68,1.61,1.93,1.88,1.61,2.02,2.56,1.85,1.08,1.11,1.34,2.36,1.19,2.17,1.26,1.91,0.96,40.35
1. FC Saarbrücken,0.81,0.78,0.56,1.54,1.47,1.77,1.17,1.35,1.15,1.16,1.59,0.9,1.67,1.54,1.14,1.56,1.24,2.99,1.86,2.36,2.56,2.21,1.71,1.3,1.08,2.77,40.24
Erzgebirge Aue,1.67,1.95,2.67,1.87,2.35,1.5,1.65,1.02,1.47,1.31,1.27,1.54,2.17,0.78,1.14,1.24,1.93,0.96,1.98,1.16,1.02,0.87,1.39,0.86,0.89,1.52,38.18
Alemannia Aachen,0.97,1.38,1.29,1.78,1.47,1.53,1.47,1.84,1.61,1.43,2.26,1.49,1.28,0.9,1.5,1.13,1.08,1.05,1.68,1.68,1.62,1.18,1.16,1.52,1.32,1.48,37.1
1. FC Schweinfurt 05,1.48,0.94,1.27,1.95,1.84,1.41,1.15,1.01,1.43,1.5,1.17,1.55,1.89,1.31,0.84,1.67,1.03,1.97,2.3,0.96,2.19,1.57,0.78,1.15,0.92,1.06,36.34
FC Viktoria Köln,1.5,0.98,1.33,1.78,1.64,1.17,1.56,1.43,0.61,3.03,1.11,1.29,2.43,1.28,1.2,1.56,2.08,1.11,1.07,1.11,1.09,0.73,1.01,1.23,0.98,2.01,36.32
TSV 1860 München,1.36,1.6,1.29,1.97,2.04,1.22,1.61,1.22,2.78,1.34,1.02,1.72,1.01,1.02,1.97,0.72,1.47,1.6,1.33,1.23,0.97,0.86,1.34,1.73,0.72,1.13,36.27
SSV Ulm 1846,1.6,1.62,1.71,1.76,1.77,1.49,1.27,0.99,1.58,1.43,0.99,0.78,0.88,0.82,0.92,1.4,1.38,1.19,1.4,1.71,1.64,1.16,1.65,1.14,2.02,1.14,35.44
