Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,spieltag-6,spieltag-7,spieltag-8,spieltag-9,spieltag-10,spieltag-11,spieltag-12,spieltag-13,spieltag-14,spieltag-15,spieltag-16,spieltag-17,spieltag-18,spieltag-19,spieltag-20,spieltag-21,spieltag-22,spieltag-23,spieltag-24,spieltag-25,spieltag-26,Total_xP
F.C. Hansa Rostock,1.366,1.716,1.761,1.242,0.705,1.653,2.094,1.926,1.935,1.166,2.152,1.762,1.889,2.412,2.586,1.887,2.346,1.117,1.318,1.607,1.779,2.139,1.181,1.345,1.681,1.391,44.156
SC Verl,0.745,0.544,2.276,1.647,1.709,0.976,1.478,1.927,1.267,1.943,1.604,2.259,0.91,2.628,1.523,1.657,1.243,1.481,1.661,2.003,2.202,1.757,2.167,1.735,1.649,1.746,42.737
VfL Osnabrück,1.698,1.628,2.266,1.832,2.032,1.472,1.056,1.347,1.477,1.414,0.943,1.834,2.045,1.464,1.635,1.104,1.918,1.8,1.657,1.301,1.838,0.707,1.627,1.387,1.518,1.569,40.569
MSV Duisburg,1.319,2.392,1.4,1.106,1.415,1.524,2.102,2.244,1.753,1.585,1.971,1.751,0.715,1.619,0.511,1.516,1.058,1.973,1.253,1.551,2.116,1.765,0.656,0.347,1.777,2.195,39.614
TSG Hoffenheim II U23,1.727,1.315,2.014,1.548,1.03,1.066,1.524,1.904,1.817,1.672,1.831,1.581,1.432,1.712,2.324,1.009,1.493,0.897,1.83,1.408,1.555,0.847,1.565,1.056,1.241,1.441,38.839
Energie Cottbus,2.191,2.43,0.802,1.409,2.147,1.412,1.283,1.771,0.853,1.283,1.633,1.654,1.943,1.228,0.805,1.812,1.712,0.686,1.212,0.766,1.033,1.966,1.638,1.565,2.046,0.963,38.243
SV Wehen Wiesbaden,1.982,2.29,1.053,1.401,1.333,1.393,1.382,1.77,1.278,1.98,0.656,1.691,1.035,1.72,0.907,1.778,0.839,2.101,0.965,1.223,0.593,1.338,2.212,2.489,0.444,2.184,38.037
Rot-Weiss Essen,1.66,0.388,1.737,1.618,1.477,1.289,0.726,1.506,0.974,2.067,1.843,1.029,1.776,1.542,2.012,1.537,1.447,1.257,1.524,1.217,0.939,1.368,1.494,1.203,1.248,1.391,36.269
VfB Stuttgart II U21,1.428,0.822,0.562,0.827,1.537,1.683,0.952,1.008,1.469,1.121,1.674,1.567,2.047,1.871,1.944,1.856,1.34,1.567,1.087,1.206,2.051,1.009,1.896,1.339,1.611,0.729,36.203
SSV Jahn Regensburg,1.607,0.379,1.727,1.039,1.277,1.393,1.51,0.85,1.278,1.174,1.477,1.215,1.412,2.163,1.267,0.897,1.282,1.255,1.578,1.582,0.693,1.314,1.937,1.584,2.408,1.516,35.814
SV Waldhof Mannheim,2.02,0.966,1.441,1.74,0.667,1.05,1.601,1.279,1.224,1.364,1.475,1.769,1.378,1.158,1.863,1.24,1.747,1.518,1.789,0.791,0.967,1.672,0.881,1.231,1.168,1.65,35.649
FC Viktoria Köln,1.391,1.5,1.304,1.728,0.997,1.631,1.794,1.401,0.29,2.15,0.926,1.013,2.245,1.049,1.216,0.988,1.82,1.398,1.441,1.466,0.591,1.016,0.837,1.637,1.436,2.062,35.327
1. FC Saarbrücken,0.61,1.169,0.524,1.184,1.229,1.563,1.374,1.011,1.008,1.528,1.177,0.632,1.638,1.343,0.866,1.237,1.022,1.934,1.463,2.045,2.241,2.098,1.59,1.395,0.803,2.343,35.027
FC Ingolstadt 04,1.185,1.985,1.045,1.373,1.655,1.613,1.354,0.56,1.505,1.871,1.255,2.174,0.581,1.247,1.132,1.789,0.96,1.76,0.972,1.187,0.76,0.681,1.099,1.803,2.043,0.594,34.183
Alemannia Aachen,1.035,1.426,1.367,1.177,1.194,1.766,1.172,1.932,1.472,1.461,1.546,1.091,1.122,0.88,1.483,1.214,0.504,1.307,1.268,1.467,1.224,1.598,1.237,1.635,1.116,1.128,33.822
TSV Havelse,1.058,2.472,0.803,0.946,1.11,1.192,0.694,0.881,1.544,0.692,1.275,1.128,1.692,1.42,1.736,0.958,1.487,1.032,1.512,1.356,1.868,1.862,1.159,1.401,0.77,0.637,32.685
TSV 1860 München,1.109,1.156,1.367,1.957,1.676,1.103,1.252,1.506,2.589,0.827,0.81,1.035,0.832,0.651,1.916,0.852,1.681,1.037,1.105,1.499,0.916,1.102,0.9,1.376,1.007,1.28,32.541
Erzgebirge Aue,1.404,1.592,2.02,1.593,1.807,1.347,1.701,1.207,1.289,0.75,1.267,1.195,1.39,0.269,0.843,0.995,1.819,0.802,1.222,1.137,0.952,0.884,1.175,1.07,0.735,1.205,31.67
SSV Ulm 1846,0.839,1.191,1.375,1.063,1.576,1.208,1.236,0.862,1.478,0.927,1.093,0.553,0.733,0.437,0.996,1.873,0.969,0.971,1.235,1.544,1.802,0.998,1.874,1.11,1.985,1.215,31.143
1. FC Schweinfurt 05,1.365,0.43,1.042,1.389,1.145,1.236,1.344,0.842,1.28,0.869,1.079,0.967,1.038,1.058,0.304,1.524,1.057,1.75,1.58,1.233,1.762,1.445,0.591,0.965,0.961,0.506,28.762
