Team,points_spieltag1,points_spieltag2,points_spieltag3,points_spieltag4,points_spieltag5,points_spieltag6
FC Viktoria Köln,3,3,3,3,0,0
TSG Hoffenheim II U23,0,3,0,1,3,3
SC Verl,3,0,3,1,1,1
Alemannia Aachen,0,3,0,1,0,0
1. FC Saarbrücken,3,3,3,1,3,0
SSV Ulm 1846,0,0,3,0,3,0
1. FC Schweinfurt 05,0,0,3,0,0,0
MSV Duisburg,3,3,3,3,3,3
SV Wehen Wiesbaden,3,3,0,3,1,0
SSV Jahn Regensburg,0,0,0,1,0,3
F.C. Hansa Rostock,3,0,1,1,3,1
TSV 1860 München,0,1,3,1,3,3
Rot-Weiss Essen,1,0,3,1,1,3
VfL Osnabrück,1,3,1,1,0,3
SV Waldhof Mannheim,0,3,0,1,0,3
VfB Stuttgart II U21,3,1,0,0,3,1
TSV Havelse,0,0,0,1,1,0
FC Ingolstadt 04,3,1,0,1,0,1
Energie Cottbus,3,1,3,1,3,0
Erzgebirge Aue,0,0,0,1,0,3
