Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,spieltag-6,total_points
MSV Duisburg,3,3,3,3,3,3,18
1. FC Saarbrücken,0,3,3,3,3,1,13
FC Viktoria Köln,0,0,3,3,3,3,12
TSV 1860 München,3,3,1,3,0,1,11
Energie Cottbus,0,3,1,3,3,1,11
SV Wehen Wiesbaden,0,1,3,0,3,3,10
TSG Hoffenheim II U23,3,3,3,0,0,1,10
VfL Osnabrück,3,0,3,1,1,1,9
Rot-Weiss Essen,3,1,0,3,1,1,9
SC Verl,1,1,0,3,3,1,9
F.C. Hansa Rostock,1,3,0,1,3,1,9
VfB Stuttgart II U21,1,3,1,0,3,0,8
SV Waldhof Mannheim,3,0,3,0,0,1,7
SSV Ulm 1846,0,3,0,3,0,0,6
FC Ingolstadt 04,1,0,1,0,3,1,6
Alemannia Aachen,0,0,3,0,0,1,4
SSV Jahn Regensburg,3,0,0,0,0,1,4
Erzgebirge Aue,3,0,0,0,0,1,4
1. FC Schweinfurt 05,0,0,0,3,0,0,3
TSV Havelse,0,1,0,0,0,1,2
