Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,Total_xG
Energie Cottbus,2.77,2.61,2.63,1.67,3.64,13.32
SV Wehen Wiesbaden,4.08,1.36,2.78,3.0,1.26,12.48
Rot-Weiss Essen,1.87,1.83,2.69,3.23,1.62,11.24
FC Ingolstadt 04,1.66,2.12,1.76,2.79,1.27,9.6
SSV Ulm 1846,1.28,2.66,1.33,1.95,2.06,9.28
TSV 1860 München,0.58,2.98,1.46,1.84,2.23,9.09
TSG Hoffenheim II U23,1.33,1.88,2.86,1.66,1.33,9.06
SC Verl,0.29,2.88,2.8,1.3,1.49,8.76
MSV Duisburg,1.57,2.84,1.27,1.49,1.18,8.35
Alemannia Aachen,0.4,1.62,0.6,4.92,0.64,8.18
FC Viktoria Köln,1.69,0.57,2.01,1.95,1.68,7.9
VfB Stuttgart II U21,1.63,1.14,2.27,1.76,0.93,7.73
Erzgebirge Aue,2.31,1.44,1.63,0.92,0.94,7.24
SSV Jahn Regensburg,1.37,0.32,3.19,0.92,1.18,6.98
1. FC Schweinfurt 05,1.39,0.44,0.62,2.75,1.75,6.95
SV Waldhof Mannheim,1.56,0.84,0.75,3.45,0.33,6.93
1. FC Saarbrücken,1.51,1.18,0.62,2.34,1.09,6.74
VfL Osnabrück,1.14,2.43,1.09,1.41,0.64,6.71
TSV Havelse,0.94,0.34,1.89,0.71,0.64,4.52
F.C. Hansa Rostock,0.95,0.65,1.13,1.16,0.24,4.13
