Team,spieltag-1,spieltag-2,spieltag-3,spieltag-4,spieltag-5,Total_xP
Energie Cottbus,2.088,2.632,1.298,0.82,2.86,9.698
FC Viktoria Köln,1.577,0.848,2.208,2.057,1.886,8.576
Rot-Weiss Essen,2.261,2.422,1.367,0.775,1.674,8.499
FC Ingolstadt 04,1.57,1.999,1.799,2.007,1.07,8.445
VfL Osnabrück,1.964,1.14,1.726,1.888,1.675,8.393
MSV Duisburg,1.344,2.746,1.326,1.503,1.305,8.224
TSV 1860 München,0.53,1.687,2.011,1.439,2.383,8.05
TSG Hoffenheim II U23,1.649,1.549,1.527,1.714,1.266,7.705
SV Wehen Wiesbaden,2.614,0.623,1.457,1.536,1.421,7.651
1. FC Saarbrücken,0.742,1.84,0.949,2.25,1.472,7.253
SC Verl,0.432,2.219,1.683,1.245,1.483,7.062
SSV Ulm 1846,0.289,2.079,1.41,0.715,2.309,6.802
SV Waldhof Mannheim,2.331,1.484,0.591,2.137,0.087,6.63
VfB Stuttgart II U21,1.421,0.796,1.139,1.342,1.222,5.92
SSV Jahn Regensburg,1.191,0.163,2.686,0.728,1.08,5.848
Erzgebirge Aue,2.217,0.747,1.231,0.573,0.872,5.64
Alemannia Aachen,0.713,1.23,0.723,2.066,0.502,5.234
1. FC Schweinfurt 05,1.187,0.248,0.219,1.293,1.696,4.643
F.C. Hansa Rostock,0.601,1.15,0.967,1.043,0.844,4.605
TSV Havelse,1.072,0.381,1.549,0.839,0.446,4.287
