spieltag,home_team,away_team,home_goals,away_goals,url,home_xG,away_xG
1,Rot-Weiss Essen,TSV 1860 München,1,1,https://int.soccerway.com/matches/2025/08/01/germany/3-liga/rw-essen/1860-m-nchen/I1998542/,1.87,0.58
1,TSG Hoffenheim II U23,TSV Havelse,0,0,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/hoffenheim-ii/havelse/I1998447/,1.33,0.94
1,Energie Cottbus,1. FC Saarbrücken,3,3,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/cottbus/saarbr-cken/I1998459/,2.77,1.51
1,VfL Osnabrück,Alemannia Aachen,0,0,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/osnabr-ck/alemannia/I1998465/,1.14,0.40
1,SV Waldhof Mannheim,SC Verl,2,2,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/waldhof/verl/I1998456/,1.56,0.29
1,FC Ingolstadt 04,SSV Jahn Regensburg,1,1,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/ingolstadt/regensburg/I1998460/,1.66,1.37
1,MSV Duisburg,VfB Stuttgart II U21,2,1,https://int.soccerway.com/matches/2025/08/02/germany/3-liga/duisburg/stuttgart-ii/I2038101/,1.57,1.63
1,Erzgebirge Aue,F.C. Hansa Rostock,0,0,https://int.soccerway.com/matches/2025/08/03/germany/3-liga/aue/rostock/I2038100/,2.31,0.95
1,FC Viktoria Köln,1. FC Schweinfurt 05,2,0,https://int.soccerway.com/matches/2025/08/03/germany/3-liga/viktoria/schweinfurt/I2005473/,1.69,1.39
1,SV Wehen Wiesbaden,SSV Ulm 1846,3,1,https://int.soccerway.com/matches/2025/08/03/germany/3-liga/wiesbaden/ulm/I1998469/,4.08,1.28
