spieltag,home_team,away_team,home_goals,away_goals,url,home_xG,away_xG,home_xP,away_xP,home_win_prob,draw_prob,away_win_prob
4,FC Viktoria Köln,SSV Jahn Regensburg,1,0,https://int.soccerway.com/matches/2025/08/29/germany/3-liga/viktoria/regensburg/I2005476/,1.95,0.92,2.057,0.728,0.614,0.214,0.171
4,SC Verl,MSV Duisburg,2,3,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/verl/duisburg/I2323481/,1.3,1.49,1.245,1.503,0.331,0.252,0.417
4,1. FC Saarbrücken,Erzgebirge Aue,4,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/saarbr-cken/aue/I1998473/,2.34,0.92,2.25,0.573,0.691,0.178,0.132
4,TSV 1860 München,VfB Stuttgart II U21,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/1860-m-nchen/stuttgart-ii/I2006052/,1.84,1.76,1.439,1.342,0.407,0.219,0.374
4,Energie Cottbus,FC Ingolstadt 04,1,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/cottbus/ingolstadt/I2323483/,1.67,2.79,0.82,2.007,0.216,0.172,0.612
4,TSV Havelse,VfL Osnabrück,0,2,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/havelse/osnabr-ck/I1998476/,0.71,1.41,0.839,1.888,0.188,0.274,0.538
4,F.C. Hansa Rostock,TSG Hoffenheim II U23,0,1,https://int.soccerway.com/matches/2025/08/30/germany/3-liga/rostock/hoffenheim-ii/I1998468/,1.16,1.66,1.043,1.714,0.267,0.243,0.49
4,SSV Ulm 1846,SV Waldhof Mannheim,1,2,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/ulm/waldhof/I1998448/,1.95,3.45,0.715,2.137,0.19,0.146,0.664
4,1. FC Schweinfurt 05,SV Wehen Wiesbaden,0,1,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/schweinfurt/wiesbaden/I2005480/,2.75,3.0,1.293,1.536,0.374,0.17,0.456
4,Rot-Weiss Essen,Alemannia Aachen,2,3,https://int.soccerway.com/matches/2025/08/31/germany/3-liga/rw-essen/alemannia/I1998467/,3.23,4.92,0.775,2.066,0.218,0.12,0.648
